model_id,scenario,role,channel,policy,target_fpr,sample_count,positive_count,negative_count,predicted_positive_count,tp,fp,tn,fn,reference_threshold,decision_threshold,precision,recall,f1,fpr,miss_rate,pr_auc,reference_prevalence,metric_valid,unavailable_reason
m2_random_forest,state_group,test,kMc,nominal_threshold,,1791,180,1611,148,148,0,1611,32,0.9,0.9,1.0,0.8222222222222222,0.9024390243902439,0.0,0.17777777777777778,0.9870203029458429,0.10050251256281408,True,
m2_random_forest,state_group,test,kMt,nominal_threshold,,1791,135,1656,128,126,2,1654,9,0.9,0.9,0.984375,0.9333333333333333,0.9581749049429659,0.0012077294685990338,0.06666666666666667,0.9689520471349323,0.07537688442211055,True,
m2_random_forest,state_group,test,any,nominal_threshold,,1791,297,1494,267,265,2,1492,32,0.9,0.9,0.9925093632958801,0.8922558922558923,0.9397163120567377,0.0013386880856760374,0.10774410774410774,0.9814251862132243,0.1658291457286432,True,
m2_random_forest,turbine_holdout,test,kMc,nominal_threshold,,2295,1170,1125,984,961,23,1102,209,0.5,0.5,0.9766260162601627,0.8213675213675213,0.8922934076137418,0.020444444444444446,0.17863247863247864,0.9786027873819574,0.5098039215686274,True,
m2_random_forest,turbine_holdout,test,kMt,nominal_threshold,,2295,2295,0,2001,2001,0,0,294,0.5,0.5,,0.8718954248366013,,,0.12810457516339868,,1.0,False,single_class_all_positive
m2_random_forest,turbine_holdout,test,any,nominal_threshold,,2295,2295,0,2147,2147,0,0,148,0.5,0.5,,0.9355119825708061,,,0.0644880174291939,,1.0,False,single_class_all_positive
m2_random_forest,turbine_holdout,test,kMc,nominal_threshold,,2295,945,1350,731,730,1,1349,215,0.6,0.6,0.9986320109439124,0.7724867724867724,0.8711217183770883,0.0007407407407407407,0.2275132275132275,0.9760501345499631,0.4117647058823529,True,
m2_random_forest,turbine_holdout,test,kMt,nominal_threshold,,2295,2295,0,21,21,0,0,2274,0.6,0.6,,0.009150326797385621,,,0.9908496732026144,,1.0,False,single_class_all_positive
m2_random_forest,turbine_holdout,test,any,nominal_threshold,,2295,2295,0,752,752,0,0,1543,0.6,0.6,,0.3276688453159041,,,0.6723311546840959,,1.0,False,single_class_all_positive
m2_random_forest,turbine_holdout,test,kMc,nominal_threshold,,2295,720,1575,546,534,12,1563,186,0.7,0.7,0.978021978021978,0.7416666666666667,0.8436018957345971,0.007619047619047619,0.25833333333333336,0.9655276580078613,0.3137254901960784,True,
m2_random_forest,turbine_holdout,test,kMt,nominal_threshold,,2295,2295,0,0,0,0,0,2295,0.7,0.7,,0.0,,,1.0,,1.0,False,single_class_all_positive
m2_random_forest,turbine_holdout,test,any,nominal_threshold,,2295,2295,0,546,546,0,0,1749,0.7,0.7,,0.23790849673202613,,,0.7620915032679738,,1.0,False,single_class_all_positive
m2_random_forest,turbine_holdout,test,kMc,nominal_threshold,,2295,495,1800,264,264,0,1800,231,0.8,0.8,1.0,0.5333333333333333,0.6956521739130436,0.0,0.4666666666666667,0.9343598842775832,0.21568627450980393,True,
m2_random_forest,turbine_holdout,test,kMt,nominal_threshold,,2295,2295,0,0,0,0,0,2295,0.8,0.8,,0.0,,,1.0,,1.0,False,single_class_all_positive
m2_random_forest,turbine_holdout,test,any,nominal_threshold,,2295,2295,0,264,264,0,0,2031,0.8,0.8,,0.11503267973856209,,,0.8849673202614379,,1.0,False,single_class_all_positive
m2_random_forest,turbine_holdout,test,kMc,nominal_threshold,,2295,270,2025,21,21,0,2025,249,0.9,0.9,1.0,0.07777777777777778,0.1443298969072165,0.0,0.9222222222222223,0.8492891071260327,0.11764705882352941,True,
m2_random_forest,turbine_holdout,test,kMt,nominal_threshold,,2295,1377,918,0,0,0,918,1377,0.9,0.9,0.0,0.0,0.0,0.0,1.0,0.6321483217193467,0.6,True,
m2_random_forest,turbine_holdout,test,any,nominal_threshold,,2295,1485,810,21,21,0,810,1464,0.9,0.9,1.0,0.014141414141414142,0.027888446215139442,0.0,0.9858585858585859,0.7414083350956217,0.6470588235294118,True,
m3_linear_residual_mlp,state_group,validation,kMc,nominal_threshold,,1791,945,846,932,932,0,846,13,0.5,0.5,1.0,0.9862433862433863,0.9930740543420352,0.0,0.013756613756613757,1.0,0.5276381909547738,True,
